역명,환승노선,걸리는시간,호선
가산디지털단지,01호선,1.5,07호선
도봉산,01호선,0.6,07호선
동대문,01호선,2.7,04호선
동묘앞,01호선,1.3,06호선
서울,01호선,2.2,04호선
시청,01호선,1.4,02호선
신길,01호선,3.4,05호선
신도림,01호선,1.1,02호선
신설동,01호선,2.2,02호선
온수,01호선,1.4,07호선
종로3가,01호선,1.6,03호선
종로3가,01호선,4.3,05호선
창동,01호선,1.2,04호선
건대입구,02호선,1.1,07호선
교대,02호선,1.1,03호선
까치산,02호선,0.2,05호선
대림,02호선,3.8,07호선
동대문역사문화공원,02호선,0.6,04호선
동대문역사문화공원,02호선,3.3,05호선
사당,02호선,1,04호선
성수,02호선,0.3,02호선
시청,02호선,1.4,01호선
신당,02호선,3.4,06호선
신도림,02호선,1.1,02호선
신설동,02호선,2.2,01호선
영등포구청,02호선,1.5,05호선
왕십리,02호선,1.2,05호선
을지로3가,02호선,2.1,03호선
을지로4가,02호선,1.1,05호선
잠실,02호선,2.6,08호선
종합운동장,02호선,1.3,09호선
충정로,02호선,3,05호선
합정,02호선,1.1,06호선
가락시장,03호선,0.5,08호선
고속터미널,03호선,2.4,07호선
교대,03호선,1.1,02호선
불광,03호선,1.4,06호선
약수,03호선,1.8,06호선
연신내,03호선,2.5,06호선
오금,03호선,0.9,05호선
을지로3가,03호선,2.1,02호선
종로3가,03호선,1.6,01호선
종로3가,03호선,1.6,05호선
충무로,03호선,0.2,04호선
노원,04호선,3.9,07호선
동대문,04호선,2.7,01호선
동대문역사문화공원,04호선,0.6,02호선
동대문역사문화공원,04호선,1.5,05호선
사당,04호선,1,02호선
삼각지,04호선,2.2,06호선
서울,04호선,2.2,01호선
이수,04호선,2.4,07호선
충무로,04호선,0.2,03호선
강동,05호선,0.3,05호선
공덕,05호선,1,06호선
군자,05호선,1.1,07호선
동대문역사문화공원,05호선,3.3,02호선
동대문역사문화공원,05호선,1.5,04호선
영등포구청,05호선,1.5,02호선
오금,05호선,0.9,03호선
올림픽공원,05호선,1.3,09호선
왕십리,05호선,1.2,02호선
을지로4가,05호선,1.1,02호선
종로3가,05호선,4.3,01호선
종로3가,05호선,1.6,03호선
천호,05호선,0.5,08호선
청구,05호선,1.5,06호선
충정로,05호선,3,02호선
공덕,06호선,1,05호선
동묘앞,06호선,1.3,01호선
불광,06호선,1.4,03호선
삼각지,06호선,2.2,04호선
신당,06호선,3.4,02호선
약수,06호선,1.8,03호선
연신내,06호선,2.5,03호선
청구,06호선,1.5,05호선
태릉입구,06호선,0.6,07호선
합정,06호선,1.1,02호선
건대입구,07호선,1.1,02호선
고속터미널,07호선,2.4,03호선
군자,07호선,1.1,05호선
노원,07호선,3.9,04호선
대림,07호선,3.8,02호선
총신대입구,07호선,2.4,04호선
태릉입구,07호선,0.6,06호선
가락시장,08호선,0.5,03호선
잠실,08호선,2.6,09호선
천호,08호선,0.5,02호선
고속터미널,09호선,2.2,05호선
고속터미널,09호선,4.4,03호선
김포공항,09호선,1.5,07호선
당산,09호선,1.5,05호선
동작,09호선,3.4,02호선
석촌,09호선,1.1,04호선
여의도,09호선,1,08호선
올림픽공원,09호선,1.3,05호선
종합운동장,09호선,1.3,05호선
석촌,8호선,1.1,02호선
석계,경원선,1.7,06호선
공덕,경의중앙선,3,05호선
공덕,경의중앙선,2.1,06호선
디지털미디어시티,경의중앙선,0.8,06호선
상봉,경의중앙선,1.4,07호선
서울,경의중앙선,2.3,01호선
서울,경의중앙선,4.5,04호선
옥수,경의중앙선,2.2,03호선
왕십리,경의중앙선,0.7,02호선
왕십리,경의중앙선,2.8,05호선
이촌,경의중앙선,1.1,04호선
청량리,경의중앙선,2.3,01호선
홍대입구,경의중앙선,4.2,02호선
효창공원앞,경의중앙선,1.5,06호선
상봉,경춘선,1.4,07호선
신내,경춘선,0.7,06호선
청량리,경춘선,2.8,01호선
공덕,공항철도,3.8,05호선
공덕,공항철도,3.7,06호선
김포공항,공항철도,1.7,05호선
디지털미디어시티,공항철도,2.6,06호선
서울,공항철도,4.3,01호선
서울,공항철도,3.1,04호선
홍대입구,공항철도,4.9,02호선
수서,국철,1.3,03호선
김포공항,김포골드라인,2.8,05호선
강남구청,분당선,1.7,07호선
도곡,분당선,1.1,03호선
모란,분당선,1.4,08호선
복정,분당선,0.2,08호선
선릉,분당선,1.1,02호선
선정릉,분당선,1.5,09호선
왕십리,분당선,1.4,02호선
왕십리,분당선,3.4,05호선
청량리,분당선,2.5,01호선
강남,신분당선,3,02호선
양재,신분당선,1.3,03호선
보문,우이신설선,1.2,06호선
성신여대입구,우이신설선,0.1,04호선
신설동,우이신설선,1.8,01호선
신설동,우이신설선,3.8,02호선
부평구청,인천1호선,0.6,07호선
